分类1,分类2,报送分类,TICKER,ISIN,债券名称,AccSection,Portfolio,CCY,Nominal（原币）,Nominal（USD）,Nominal(亿原币）,Nominal(亿美元）,摊余成本（USD）,摊余成本（亿USD）,Maket Value（USD）,Duration,Size*Dur,WAL,SIZE*WAL,EffectiveYield,Size*Yld, IRSCCSAmt ,IRSCCSYield,Real Yield,Size*Real Yld,FTP Rate,Size*FTP,Carry,Size*Carry,PL,PL2,估亏比例,Maturity,NXT_CALL_DT,tmp1,MaturityWithCall(not used),year,month,date,MaturityWithCall,2025,2026,Maturity_Check,平均买价,摊余成本价格,市场价格,国别风险,TLAC债券,FLOATER,INSTRUMENT,是否repo,repo占比,实际repo,实际repo%,绿债,现价*规模（美元）, 久期 ,凸性,OAS,PVBP（万美元）,IRS PV01（万美元）,CCS PV01（万美元）,总PVBP（万美元）,,是否私募
Fins,Foreign Banks,外资金融机构债券,C,US172967NN71,C 3.785 03/17/33,AFS,HOBJIFCRA031,USD," 20,000,000.00 "," 20,000,000.00 ", 0.20 , 0.20 ," 18,489,490.41 ", 0.18 ," 19,126,400.00 ", 5.350 ," 98,910,335.895 ", -   , -   , 5.1104 ," 94,488,616.3319 ", -   , -   , 5.11 ," 94,488,616.3319 ", 4.8307 ," 89,317,717.4977 ", 28 ," 517,089,883.4115 "," 636,909.59 "," 636,909.59 ",3.4%,17/03/2033,2032/3/17,2032/3/17,2032/3/17,2032,3,17,2032/3/17, -   ," 51,708.99 ", -   , 90.07 , 92.45 , 95.63 , US , TLAC , N ,CITIGROUP 3.785 170333 CALL,,,,,N," 19,126,400.00 ", 5.35 , 0.34 , 5.35 , 1.0232 , -   , -   , 1.02 ,1.023175116,N
Fins,Foreign Banks,外资金融机构债券,BAC,US06051GKQ19,BAC 4.571 04/27/33,AFS,HOBJIFCRA031,USD," 20,000,000.00 "," 20,000,000.00 ", 0.20 , 0.20 ," 19,412,542.39 ", 0.19 ," 20,018,600.00 ", 5.355 ," 103,955,506.012 ", -   , -   , 5.1182 ," 99,357,189.9981 ", -   , -   , 5.12 ," 99,357,189.9981 ", 4.8307 ," 93,776,731.4702 ", 29 ," 558,045,852.7833 "," 606,057.61 "," 606,057.61 ",3.1%,27/04/2033,2032/4/27,2032/4/27,2032/4/27,2032,4,27,2032/4/27, -   ," 55,804.59 ", -   , 96.15 , 97.06 , 100.09 , US , TLAC , N ,BOAC-HO 4.571 270433 CALL,,,,,N," 20,018,600.00 ", 5.36 , 0.34 , 5.35 , 1.0720 , -   , -   , 1.07 ,1.072009864,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,XS2078533218,CHINA 0 1/2 11/12/31,AFS,HOBJIFIRA101,EUR," 91,908,000.00 "," 107,686,708.12 ", 0.92 , 1.08 ," 92,326,563.88 ", 0.92 ," 95,168,128.30 ", 5.593 ," 516,375,618.039 ", -   , -   , 3.2057 ," 295,972,352.5067 ", -   , -   , 3.21 ," 295,972,352.5067 ", 2.5269 ," 233,304,333.6113 ", 68 ," 6,266,801,889.5391 "," 2,841,564.42 "," 2,841,564.42 ",3.1%,12/11/2031,2031/8/12,2031/8/12,2031/8/12,2031,8,12,2031/8/12, -   ," 626,680.19 ", -   , 79.85 , 85.74 , 88.38 , CN , #N/A N/A , N ,CHINA 0.5 121131 CALL,,,,,N," 95,168,128.30 ", 5.59 , 0.37 , 5.71 , 5.3227 , -   , -   , 5.32 ,5.322682769,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,XS2078535346,CHINA 1 11/12/39,AFS,HOBJIFIRA101,EUR," 220,359,000.00 "," 258,190,095.68 ", 2.20 , 2.58 ," 189,042,312.48 ", 1.89 ," 198,147,988.93 ", 12.403 ," 2,344,728,067.634 ", -   , -   , 3.4620 ," 654,462,703.1403 ", -   , -   , 3.46 ," 654,462,703.1403 ", 2.8166 ," 532,457,144.4610 ", 65 ," 12,200,555,867.9308 "," 9,105,676.45 "," 9,105,676.45 ",4.8%,12/11/2039,2039/8/12,2039/8/12,2039/8/12,2039,8,12,2039/8/12, -   ," 1,220,055.59 ", -   , 69.40 , 73.22 , 76.75 , CN , #N/A N/A , N ,CHINA 1.0 121139 CALL,,,,,N," 198,147,988.93 ", 12.40 , 1.74 , 12.95 , 24.5767 , -   , -   , 24.58 ,24.57667519,N
Rates,Supra,超主权机构债券,AIIB,AU3CB0279990,AIIB 1 05/06/26,AFS,HOBJIFIRA501,AUD," 20,373,000.00 "," 13,591,661.68 ", 0.20 , 0.14 ," 13,454,462.54 ", 0.13 ," 13,453,585.72 ", 0.298 ," 4,005,613.328 ", -   , -   , 4.0416 ," 54,377,164.8338 ", -   , -   , 4.04 ," 54,377,164.8338 ", 3.2137 ," 43,238,364.0994 ", 83 ," 1,113,880,073.4367 ", -876.82 , -876.82 ,0.0%,06/05/2026,#N/A Field Not Applicable,#VALUE!,2026/5/6,2026,5,6,2026/5/6, -   ," 38,451.75 ", 6.00 , 90.95 , 98.99 , 98.98 , SNAT , #N/A N/A , N ,AINF-HO 1 060526,,,,,N," 13,453,585.72 ", 0.30 , 0.00 , 0.30 , 0.0401 , -   , -   , 0.04 ,0.040053523,N
Rates,Supra,超主权机构债券,ASIA,AU3CB0254456,ASIA 3.1 06/15/29,AFS,HOBJIFIRA501,AUD," 31,000,000.00 "," 20,681,368.09 ", 0.31 , 0.21 ," 20,174,991.06 ", 0.20 ," 19,759,059.92 ", 3.180 ," 64,163,710.743 ", -   , -   , 3.8994 ," 78,669,864.6376 ", -   , -   , 3.90 ," 78,669,864.6376 ", 3.3304 ," 67,190,285.8480 ", 57 ," 1,147,957,878.9548 "," -415,931.14 "," -415,931.14 ",-2.1%,15/06/2029,#N/A Field Not Applicable,#VALUE!,2029/6/15,2029,6,15,2029/6/15, -   ," 114,795.79 ", -   , 96.68 , 97.55 , 95.54 , SNAT , #N/A N/A , N ,ADB-HO 3.1 150629,,,,,N," 19,759,059.92 ", 3.18 , 0.12 , 3.18 , 0.6284 , -   , -   , 0.63 ,0.628409005,N
Rates,Supra,超主权机构债券,AIIB,AU3CB0285807,AIIB 1.9 01/18/27,AFS,HOBJIFIRA501,AUD," 22,950,000.00 "," 15,310,883.79 ", 0.23 , 0.15 ," 14,950,938.17 ", 0.15 ," 14,947,938.07 ", 0.980 ," 14,648,798.647 ", -   , -   , 4.2633 ," 63,739,798.7260 ", -   , -   , 4.26 ," 63,739,798.7260 ", 3.2137 ," 48,047,560.8929 ", 105 ," 1,569,223,783.3170 "," -3,000.11 "," -3,000.11 ",0.0%,18/01/2027,#N/A Field Not Applicable,#VALUE!,2027/1/18,2027,1,18,2027/1/18, -   ," 156,922.38 ", -   , 91.64 , 97.65 , 97.63 , SNAT , #N/A N/A , N ,AINF-HO 1.9 180127,,,,,N," 14,947,938.07 ", 0.98 , 0.01 , 0.98 , 0.1465 , -   , -   , 0.15 ,0.146458592,N
Fins,Foreign Banks,外资金融机构债券,CBAAU,AU3CB0291680,CBAAU 4.4 08/18/27,AFS,HOBJIFCRA531,AUD," 26,590,000.00 "," 17,739,276.69 ", 0.27 , 0.18 ," 17,791,925.23 ", 0.18 ," 17,715,731.10 ", 1.493 ," 26,559,306.697 ", -   , -   , 4.2592 ," 75,778,728.6754 ", -   , -   , 4.26 ," 75,778,728.6754 ", 3.4137 ," 60,735,974.9027 ", 85 ," 1,504,275,377.2676 "," -76,194.13 "," -76,194.13 ",-0.4%,18/08/2027,#N/A Field Not Applicable,#VALUE!,2027/8/18,2027,8,18,2027/8/18, -   ," 150,427.54 ", -   , 100.78 , 100.30 , 99.87 , AU , #N/A N/A , N ,CBA-HO 4.4 180827,,,,,N," 17,715,731.10 ", 1.49 , 0.03 , 1.49 , 0.2645 , -   , -   , 0.26 ,0.264455662,N
Fins,Foreign Banks,外资金融机构债券,STANLN,XS2585792836,STANLN 5.35 02/10/28,HTM,HOBJIFCRH031,USD," 50,000,000.00 "," 50,000,000.00 ", 0.50 , 0.50 ," 50,000,000.00 ", 0.50 ," 50,058,000.00 ", 0.066 ," 3,324,579.444 ", -   , -   , 5.3319 ," 266,593,826.0000 ", -   , -   , 5.33 ," 266,593,826.0000 ", 4.8636 ," 243,178,850.0000 ", 47 ," 2,341,497,600.0000 "," 58,000.00 "," 58,000.00 ",0.1%,10/02/2028,2026/2/10,2026/2/10,2026/2/10,2026,2,10,2026/2/10, -   ," 234,149.76 ", 1.00 , 100.00 , 100.00 , 100.12 , GB , #N/A N/A , N ,SCB-HO 5.35 100228 CALL,,,,,N," 50,058,000.00 ", 0.07 , 0.00 , 0.07 , 0.0333 , -   , -   , 0.03 ,0.03328436,Y
Fins,Foreign Banks,外资金融机构债券,C,US17327CAQ69,C 3.057 01/25/33,AFS,HOBJIFCRA031,USD," 10,000,000.00 "," 10,000,000.00 ", 0.10 , 0.10 ," 8,837,927.33 ", 0.09 ," 9,187,400.00 ", 5.314 ," 46,968,063.641 ", -   , -   , 5.0912 ," 44,995,940.4564 ", -   , -   , 5.09 ," 44,995,940.4564 ", 4.3841 ," 38,746,419.0622 ", 71 ," 624,952,139.4217 "," 349,472.67 "," 349,472.67 ",4.0%,25/01/2033,2032/1/25,2032/1/25,2032/1/25,2032,1,25,2032/1/25, -   ," 62,495.21 ", -   , 87.28 , 88.38 , 91.87 , US , TLAC , N ,CITIGROUP 3.057 250133 CALL,,,,,N," 9,187,400.00 ", 5.31 , 0.33 , 5.31 , 0.4883 , -   , -   , 0.49 ,0.488252926,N
Fins,Foreign Banks,外资金融机构债券,C,US172967PA33,C 6.27 11/17/33,AFS,HOBJIFCRA031,USD," 30,000,000.00 "," 30,000,000.00 ", 0.30 , 0.30 ," 31,995,771.61 ", 0.32 ," 32,777,400.00 ", 5.542 ," 177,327,751.074 ", -   , -   , 5.2936 ," 169,372,150.4319 ", -   , -   , 5.29 ," 169,372,150.4319 ", 4.8636 ," 155,613,898.8897 ", 43 ," 1,375,825,154.2200 "," 781,628.39 "," 781,628.39 ",2.4%,17/11/2033,2032/11/17,2032/11/17,2032/11/17,2032,11,17,2032/11/17, -   ," 137,582.52 ", -   , 108.50 , 106.65 , 109.26 , US , TLAC , N ,CITIGROUP 6.27 171133 CALL,,,,,N," 32,777,400.00 ", 5.54 , 0.37 , 5.54 , 1.8166 , -   , -   , 1.82 ,1.816597111,N
Corps,SOE,中资企业离岸债券,CHGRID,XS1810963659,CHGRID 2 1/8 05/02/30,AFS,HOBJIFCRA151,EUR," 54,000,000.00 "," 63,270,686.32 ", 0.54 , 0.63 ," 61,173,031.81 ", 0.61 ," 61,501,005.22 ", 3.971 ," 242,923,140.768 ", -   , -   , 2.9478 ," 180,327,534.4051 ", -   , -   , 2.95 ," 180,327,534.4051 ", 2.2098 ," 135,177,902.2828 ", 74 ," 4,514,963,212.2268 "," 327,973.42 "," 327,973.42 ",0.5%,02/05/2030,#N/A Field Not Applicable,#VALUE!,2030/5/2,2030,5,2,2030/5/2, -   ," 451,496.32 ", -   , 95.44 , 96.68 , 97.20 , CN , #N/A N/A , N ,476441525 2.125 020530,,,,,N," 61,501,005.22 ", 3.97 , 0.20 , 4.04 , 2.4423 , -   , -   , 2.44 ,2.442255502,N
MBS,CMO,吉利美MBS,GNR,US38383VVJ42,GNR 2023-22 AB,HTM,HOBJIFSTH076,USD," 25,531,028.00 "," 25,531,028.00 ", 0.26 , 0.26 ," 25,533,107.33 ", 0.26 ," 25,717,430.04 ", 2.675 ," 68,290,555.405 ", 3.085 ," 78,772,189.430 ", 5.0940 ," 130,065,116.6386 ", -   , -   , 5.09 ," 130,065,116.6386 ", 4.5870 ," 117,121,103.7914 ", 51 ," 1,294,401,284.7193 "," 184,322.70 "," 216,321.21 ",0.8%,01/01/2053,#N/A N/A,#VALUE!,2053/1/1,2053,1,1,2053/1/1, -   ," 129,440.13 ", -   , 99.88 , 100.01 , 100.73 , US , #N/A N/A , N ,GNMA-USA 5.0 200153 MBS,,,,,N," 25,717,430.04 ", 2.67 , -2.52 , 3.22 , 0.6878 , -   , -   , 0.69 ,0.687835428,N
MBS,CMO,吉利美MBS,GNR,US38383VX459,GNR 2023-21 JA,HTM,HOBJIFSTH076,USD," 32,439,058.50 "," 32,439,058.50 ", 0.32 , 0.32 ," 32,457,017.64 ", 0.32 ," 32,747,716.14 ", 2.697 ," 87,524,189.410 ", 3.079 ," 99,944,894.414 ", 5.0907 ," 165,228,028.2981 ", -   , -   , 5.09 ," 165,228,028.2981 ", 4.5870 ," 148,881,281.1603 ", 50 ," 1,634,674,713.7830 "," 290,698.50 "," 323,863.45 ",1.0%,01/06/2052,#N/A N/A,#VALUE!,2052/6/1,2052,6,1,2052/6/1, -   ," 163,467.47 ", -   , 99.95 , 100.06 , 100.95 , US , #N/A N/A , N ,GNMA-USA 5.0 200652 MBS,,,,,N," 32,747,716.14 ", 2.70 ,  , 2.67 , 0.8831 , -   , -   , 0.88 ,0.883080923,N
MBS,CMO,吉利美MBS,GNR,US38383WCH79,GNR 2023-24 AE,HTM,HOBJIFSTH076,USD," 24,198,224.00 "," 24,198,224.00 ", 0.24 , 0.24 ," 24,207,226.39 ", 0.24 ," 24,500,314.63 ", 2.227 ," 53,911,317.496 ", 2.478 ," 59,992,769.158 ", 5.0913 ," 123,247,328.6906 ", -   , -   , 5.09 ," 123,247,328.6906 ", 4.5870 ," 111,039,249.4530 ", 50 ," 1,220,807,923.7592 "," 293,088.24 "," 328,557.44 ",1.4%,01/05/2051,#N/A N/A,#VALUE!,2051/5/1,2051,5,1,2051/5/1, -   ," 122,080.79 ", -   , 99.89 , 100.04 , 101.25 , US , #N/A N/A , N ,GNMA-USA 5.0 200551 MBS,,,,,N," 24,500,314.63 ", 2.23 , -2.03 , 2.39 , 0.5456 , -   , -   , 0.55 ,0.545640471,N
MBS,CMO,吉利美MBS,GNR,US38383VU976,GNR 2023-21 BA,HTM,HOBJIFSTH076,USD," 12,676,844.00 "," 12,676,844.00 ", 0.13 , 0.13 ," 12,676,844.00 ", 0.13 ," 12,752,854.36 ", 2.831 ," 35,888,905.598 ", 3.331 ," 42,226,567.364 ", 5.0934 ," 64,568,269.5556 ", -   , -   , 5.09 ," 64,568,269.5556 ", 4.5870 ," 58,149,051.0565 ", 51 ," 641,921,849.9076 "," 76,010.36 "," 76,010.36 ",0.6%,01/02/2053,#N/A N/A,#VALUE!,2053/2/1,2053,2,1,2053/2/1, -   ," 64,192.18 ", -   , 100.00 , 100.00 , 100.60 , US , #N/A N/A , N ,GNMA-USA 5.0 200253 MBS,,,,,N," 12,752,854.36 ", 2.83 , -2.60 , 3.47 , 0.3610 , -   , -   , 0.36 ,0.361040955,N
MBS,CMO,吉利美MBS,GNR,US38383VS251,GNR 2023-18 GA,HTM,HOBJIFSTH076,USD," 32,346,346.00 "," 32,346,346.00 ", 0.32 , 0.32 ," 32,346,346.00 ", 0.32 ," 32,802,623.56 ", 3.061 ," 99,025,500.038 ", 3.569 ," 115,450,578.143 ", 5.0936 ," 164,758,738.9039 ", -   , -   , 5.09 ," 164,758,738.9039 ", 4.5870 ," 148,373,627.1460 ", 51 ," 1,638,511,175.7871 "," 456,277.56 "," 456,277.56 ",1.4%,01/08/2052,#N/A N/A,#VALUE!,2052/8/1,2052,8,1,2052/8/1, -   ," 163,851.12 ", -   , 100.00 , 100.00 , 101.41 , US , #N/A N/A , N ,GNMA-USA 5.0 200852 MBS,,,,,N," 32,802,623.56 ", 3.06 ,  , 2.88 , 1.0042 , -   , -   , 1.00 ,1.004223537,N
Rates,Govs,外国政府/主权债券,OBL,DE0001141836,OBL 0 04/10/26,HTM,HOBJIFIRH101,EUR," 100,000,000.00 "," 117,167,937.63 ", 1.00 , 1.17 ," 116,305,490.53 ", 1.16 ," 116,561,007.71 ", 0.229 ," 26,645,211.893 ", -   , -   , 2.7613 ," 321,153,805.5319 ", -   , -   , 2.76 ," 321,153,805.5319 ", 2.1745 ," 252,908,150.0486 ", 59 ," 6,824,565,548.3279 "," 255,517.18 "," 255,517.18 ",0.2%,10/04/2026,#N/A Field Not Applicable,#VALUE!,2026/4/10,2026,4,10,2026/4/10, -   ," 186,974.40 ", 3.00 , 91.87 , 99.26 , 99.48 , DE , #N/A N/A , N ,GERMANY 0 100426,,,,,N," 116,561,007.71 ", 0.23 , 0.00 , 0.23 , 0.2670 , -   , -   , 0.27 ,0.267037501,N
Fins,Chinese Leasing,中资金融机构债券,ICBCIL,XS2591956243,ICBCIL Float 03/06/26,AFS,HOBJIFCRA431,USD," 50,000,000.00 "," 50,000,000.00 ", 0.50 , 0.50 ," 50,000,000.00 ", 0.50 ," 50,055,500.00 ", 0.011 ," 555,310.650 ", -   , -   , 4.8224 ," 241,121,106.5000 ", -   , -   , 4.82 ," 241,121,106.5000 ", 5.0927 ," 254,633,050.0000 ",-27 ,"-1,351,194,350.0000 "," 55,500.00 "," 55,500.00 ",0.1%,06/03/2026,#N/A Field Not Applicable,#VALUE!,2026/3/6,2026,3,6,2026/3/6, -   ," -24,062.37 ", 3.00 , 100.00 , 100.00 , 100.11 , CN , #N/A N/A , Y ,474442292 FRN+95 060326,,,,,N," 50,055,500.00 ", 0.01 , 0.00 , 0.02 , 0.0056 , -   , -   , 0.01 ,0.00555927,Y
Fins,Foreign Banks,外资金融机构债券,BNP,US09659X2Q47,BNP 1.675 06/30/27,AFS,HOBJIFCRA031,USD," 45,000,000.00 "," 45,000,000.00 ", 0.45 , 0.45 ," 42,908,805.08 ", 0.43 ," 44,436,600.00 ", 0.450 ," 19,289,595.800 ", -   , -   , 5.0078 ," 214,877,673.9823 ", -   , -   , 5.01 ," 214,877,673.9823 ", 5.1021 ," 218,926,602.0368 ",-9 ,"-404,892,805.4496 "," 1,527,794.92 "," 1,527,794.92 ",3.6%,30/06/2027,2026/6/30,2026/6/30,2026/6/30,2026,6,30,2026/6/30, -   ," -40,489.28 ", 6.00 , 87.79 , 95.35 , 98.75 , FR , TLAC , N ,BNP-HO 1.675 300627 CALL,,,,,Y," 44,436,600.00 ", 0.45 , 0.00 , 0.45 , 0.1998 , -   , -   , 0.20 ,0.19976414,N
Fins,Foreign Banks,外资金融机构债券,CBAAU,US20271RAR12,CBAAU 5.316 03/13/26,AFS,HOBJIFCRA031,USD," 16,000,000.00 "," 16,000,000.00 ", 0.16 , 0.16 ," 16,002,596.35 ", 0.16 ," 16,043,520.00 ", 0.160 ," 2,562,575.747 ", -   , -   , 5.4112 ," 86,593,505.8737 ", -   , -   , 5.41 ," 86,593,505.8737 ", 5.0927 ," 81,495,798.3143 ", 32 ," 509,770,755.9347 "," 40,923.65 "," 40,923.65 ",0.3%,13/03/2026,#N/A Field Not Applicable,#VALUE!,2026/3/13,2026,3,13,2026/3/13, -   ," 10,055.75 ", 3.00 , 99.92 , 100.02 , 100.27 , AU , #N/A N/A , N ,CBA-HO 5.316 130326,,,,,N," 16,043,520.00 ", 0.16 , 0.00 , 0.15 , 0.0257 , -   , -   , 0.03 ,0.025691291,N
MBS,passthrough,吉利美MBS,G2,US36179XVT08,G2 MA8726,HTM,HOBJIFSTH076,USD," 135,559,356.00 "," 135,559,356.00 ", 1.36 , 1.36 ," 136,861,419.85 ", 1.37 ," 137,928,255.75 ", 3.226 ," 441,579,306.766 ", 3.900 ," 533,759,537.430 ", 5.5456 ," 758,978,558.5546 ", -   , -   , 5.55 ," 758,978,558.5546 ", 4.7309 ," 647,475,227.6810 ", 81 ," 11,150,333,087.3529 "," 1,066,835.89 "," 1,614,321.30 ",1.2%,01/03/2053,#N/A Field Not Applicable,#VALUE!,2053/3/1,2053,3,1,2053/3/1, -   ," 1,115,033.31 ", -   , 100.56 , 100.96 , 101.75 , US , #N/A N/A , N ,GNMA-USA 5.5 200353 MBS,,,,,N," 137,928,255.75 ", 3.23 , -3.21 , 2.55 , 4.4502 , -   , -   , 4.45 ,4.450214211,N
Fins,Foreign Banks,外资金融机构债券,HSBC,XS2597113989,HSBC 4.752 03/10/28,AFS,HOBJIFCRA131,EUR," 5,000,000.00 "," 5,858,396.88 ", 0.05 , 0.06 ," 5,858,396.88 ", 0.06 ," 6,008,137.51 ", 1.075 ," 6,296,391.002 ", -   , -   , 4.7378 ," 27,755,731.7788 ", -   , -   , 4.74 ," 27,755,731.7788 ", 3.1613 ," 18,520,068.0436 ", 158 ," 923,566,373.5207 "," 149,740.62 "," 149,740.62 ",2.6%,10/03/2028,2027/3/10,2027/3/10,2027/3/10,2027,3,10,2027/3/10, -   ," 92,356.64 ", -   , 100.00 , 100.00 , 102.56 , GB , TLAC , N ,HSBCHOLD 4.752 100328 CALL,,,,,N," 6,008,137.51 ", 1.07 , 0.02 , 1.09 , 0.0646 , -   , -   , 0.06 ,0.064573268,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,XS2259626856,CHINA 0 1/4 11/25/30,AFS,HOBJIFIRA101,EUR," 33,217,000.00 "," 38,919,673.84 ", 0.33 , 0.39 ," 33,713,052.40 ", 0.34 ," 34,619,049.88 ", 4.707 ," 158,693,441.138 ", -   , -   , 3.2460 ," 109,433,519.4837 ", -   , -   , 3.25 ," 109,433,519.4837 ", 2.5809 ," 87,009,039.2693 ", 67 ," 2,242,448,021.4336 "," 905,997.48 "," 905,997.48 ",2.7%,25/11/2030,#N/A Field Not Applicable,#VALUE!,2030/11/25,2030,11,25,2030/11/25, -   ," 224,244.80 ", -   , 80.55 , 86.62 , 88.95 , CN , #N/A N/A , N ,CHINA 0.25 251130,,,,,N," 34,619,049.88 ", 4.71 , 0.27 , 4.79 , 1.6296 , -   , -   , 1.63 ,1.629581353,N
MBS,passthrough,吉利美MBS,G2,US36179XLJ36,G2 MA8429,HTM,HOBJIFSTH076,USD," 136,464,820.00 "," 136,464,820.00 ", 1.36 , 1.36 ," 136,702,826.09 ", 1.37 ," 138,924,734.85 ", 3.219 ," 440,113,519.256 ", 3.890 ," 531,760,323.193 ", 5.6028 ," 765,921,565.9163 ", -   , -   , 5.60 ," 765,921,565.9163 ", 4.7309 ," 646,724,939.2813 ", 87 ," 11,919,662,663.5037 "," 2,221,908.76 "," 2,449,253.53 ",1.8%,01/11/2052,#N/A Field Not Applicable,#VALUE!,2052/11/1,2052,11,1,2052/11/1, -   ," 1,191,966.27 ", -   , 100.01 , 100.17 , 101.80 , US , #N/A N/A , N ,GNMA-USA 5.5 201152 MBS,,,,,N," 138,924,734.85 ", 3.22 , -3.20 , 3.04 , 4.4727 , -   , -   , 4.47 ,4.472669345,N
Rates,DM Sovereign,中国（含香港政府）主权债券,HKINTL,HK0000789849,HKINTL 0 11/24/26,AFS,HOBJIFIRA101,EUR," 156,000,000.00 "," 182,781,982.70 ", 1.56 , 1.83 ," 177,880,419.03 ", 1.78 ," 179,144,621.24 ", 0.830 ," 147,712,171.459 ", -   , -   , 3.0806 ," 547,985,390.0044 ", -   , -   , 3.08 ," 547,985,390.0044 ", 2.6184 ," 465,766,891.9654 ", 46 ," 8,221,849,803.9017 "," 1,264,202.21 "," 1,264,202.21 ",0.7%,24/11/2026,#N/A Field Not Applicable,#VALUE!,2026/11/24,2026,11,24,2026/11/24, -   ," 738,840.20 ", -   , 89.51 , 97.32 , 98.01 , HK , #N/A N/A , N ,CHINA-HK 0 241126,,,,,Y," 179,144,621.24 ", 0.83 , 0.01 , 0.84 , 1.4876 , -   , -   , 1.49 ,1.487619669,N
Corps,SOE,中资企业离岸债券,CHGRID,XS2152935214,CHGRID 1.303 08/05/32,AFS,HOBJIFCRA151,EUR," 8,200,000.00 "," 9,607,770.89 ", 0.08 , 0.10 ," 8,095,666.56 ", 0.08 ," 8,661,405.45 ", 6.087 ," 49,280,663.921 ", -   , -   , 4.0688 ," 32,939,327.2637 ", -   , -   , 4.07 ," 32,939,327.2637 ", 3.1613 ," 25,592,717.3534 ", 91 ," 734,660,991.0304 "," 565,738.89 "," 565,738.89 ",7.0%,05/08/2032,2032/5/5,2032/5/5,2032/5/5,2032,5,5,2032/5/5, -   ," 73,466.10 ", -   , 78.79 , 84.26 , 90.15 , CN , #N/A N/A , N ,476441525 1.303 050832 CALL,,,,,N," 8,661,405.45 ", 6.09 , 0.44 , 6.23 , 0.5272 , -   , -   , 0.53 ,0.527244802,N
Rates,DM Sovereign,中国（含香港政府）主权债券,HKINTL,HK0000895901,HKINTL 3 7/8 01/11/30,AFS,HOBJIFIRA101,EUR," 38,600,000.00 "," 45,226,823.92 ", 0.39 , 0.45 ," 45,852,015.82 ", 0.46 ," 47,385,952.50 ", 3.671 ," 168,307,950.462 ", -   , -   , 3.4981 ," 160,394,224.4538 ", -   , -   , 3.50 ," 160,394,224.4538 ", 2.9392 ," 134,766,502.5179 ", 56 ," 2,562,772,193.5908 "," 1,533,936.68 "," 1,533,936.68 ",3.3%,11/01/2030,#N/A Field Not Applicable,#VALUE!,2030/1/11,2030,1,11,2030/1/11, -   ," 256,277.22 ", -   , 102.17 , 101.38 , 104.77 , HK , #N/A N/A , N ,CHINA-HK 3.875 110130,,,,,Y," 47,385,952.50 ", 3.67 , 0.17 , 3.73 , 1.7394 , -   , -   , 1.74 ,1.739385369,N
MBS,CMO,吉利美MBS,GNR,US38383WB479,GNR 2023-41 DA,HTM,HOBJIFSTH076,USD," 28,409,383.92 "," 28,409,383.92 ", 0.28 , 0.28 ," 28,044,404.04 ", 0.28 ," 28,660,721.74 ", 2.386 ," 66,915,792.320 ", 2.689 ," 75,411,402.453 ", 5.1860 ," 145,439,387.6452 ", -   , -   , 5.19 ," 145,439,387.6452 ", 4.7309 ," 132,674,766.2544 ", 46 ," 1,276,462,139.0877 "," 616,317.71 "," 484,383.55 ",1.7%,01/10/2052,#N/A N/A,#VALUE!,2052/10/1,2052,10,1,2052/10/1, -   ," 127,646.21 ", -   , 99.18 , 98.72 , 100.88 , US , #N/A N/A , N ,GNMA-USA 5.0 201052 MBS,,,,,N," 28,660,721.74 ", 2.39 , -2.30 , 2.67 , 0.6839 , -   , -   , 0.68 ,0.683863669,N
MBS,CMO,吉利美MBS,GNR,US38383WHJ80,GNR 2023-38 ET,HTM,HOBJIFSTH076,USD," 33,365,861.50 "," 33,365,861.50 ", 0.33 , 0.33 ," 33,501,536.48 ", 0.34 ," 34,070,648.59 ", 2.830 ," 94,807,061.603 ", 3.334 ," 111,680,722.019 ", 5.5863 ," 187,149,106.9446 ", -   , -   , 5.59 ," 187,149,106.9446 ", 4.7309 ," 158,491,815.9187 ", 86 ," 2,865,729,102.5891 "," 569,112.11 "," 652,652.93 ",2.0%,01/03/2053,#N/A N/A,#VALUE!,2053/3/1,2053,3,1,2053/3/1, -   ," 286,572.91 ", -   , 100.16 , 100.41 , 102.11 , US , #N/A N/A , N ,GNMA-USA 5.5 200353 MBS A,,,,,N," 34,070,648.59 ", 2.83 , -2.39 , 3.44 , 0.9642 , -   , -   , 0.96 ,0.9641761,N
MBS,CMO,吉利美MBS,GNR,US38383W4S21,GNR 2023-45 HE,HTM,HOBJIFSTH076,USD," 34,211,897.00 "," 34,211,897.00 ", 0.34 , 0.34 ," 34,174,022.50 ", 0.34 ," 34,824,084.68 ", 2.514 ," 85,909,929.119 ", 2.817 ," 96,261,386.567 ", 5.1021 ," 174,358,642.1490 ", -   , -   , 5.10 ," 174,358,642.1490 ", 4.7309 ," 161,673,267.8950 ", 37 ," 1,268,537,425.4002 "," 650,062.19 "," 676,334.99 ",2.0%,01/03/2050,#N/A N/A,#VALUE!,2050/3/1,2050,3,1,2050/3/1, -   ," 126,853.74 ", -   , 99.81 , 99.89 , 101.79 , US , #N/A N/A , N ,GNMA-USA 5.0 200350 MBS,,,,,N," 34,824,084.68 ", 2.51 ,  , 2.45 , 0.8754 , -   , -   , 0.88 ,0.875441177,N
